zone_simple,quarter,Spike_D614G,NSP12_P323L,NSP4_T492I,Spike_T478K,Spike_G142D,N_R203K,N_G204R,Spike_P681H,NSP6_G107del,NSP6_S106del,Spike_N501Y,Spike_H655Y,Spike_N679K,Spike_N969K,Spike_Q954H,Spike_L452R,Spike_D796Y,NSP5_P132H,N_P13L,E_T9I,M_A63T,NSP14_I42V,Spike_G339D,M_Q19E,N_R32del,N_E31del,N_S33del,Spike_P681R,Spike_S477N,Spike_N764K,M_I82T,NS3_S26L,NSP13_P77L,N_R203M,Spike_S373P,N_D377Y,Spike_S375F,Spike_E484A,Spike_T19R,NSP12_G671S,N_D63G,Spike_Y505H,Spike_Q498R,Spike_D950N,NS7a_T120I,NS7a_V82A,Spike_T95I,Spike_F157del,Spike_R158del,Spike_Q493R,Spike_E156G,NSP6_T77A,NSP14_A394V,NSP4_V167L,NSP3_A488S,N_G215C,NS7b_T40I,NSP3_P1228L,NSP3_P1469S,Spike_V70del,Spike_H69del,Spike_K417N,Spike_N440K,NSP6_F108del,Spike_Y144del,NSP6_I189V,Spike_T547K,NSP3_A1892T,Spike_L981F,Spike_N856K,Spike_A67V,NSP3_K38R,NSP3_L1266I,NS3_T223I,NSP6_L105del,Spike_V143del,NSP13_R392C,Spike_Y145del,Spike_V213G,NSP3_G489S,NSP3_S1265del,Spike_T19I,NSP3_T24I,NSP1_S135R,NSP4_L264F,M_D3G,NSP4_T327I,Spike_D405N,N_S413R,Spike_A27S,Spike_T376A,Spike_S371F,Spike_P26del,Spike_P25del,Spike_L24del,NSP15_T112I,Spike_R408S,Spike_S371L,Spike_G496S,Spike_N211del,Spike_L212I,NSP4_L438F,Spike_ins214EPE,Spike_G446S,Spike_R346K,NSP3_T183I,NS8_Q27stop,Spike_T716I,Spike_A570D,Spike_D1118H,NS8_R52I,NS8_Y73C,NSP3_A890D,N_S235F,Spike_S982A,N_D3L,NSP3_I1412T,NSP3_A1711V,Spike_A222V,NS3_Q57H,NSP2_T85I,NSP4_A446V,NSP3_P822L,NS8_K68stop,NSP6_V149A,NSP6_T181I,NSP13_I334V,NSP3_A1736V,NSP12_L838I,N_Q9L,NSP3_V1069I,Spike_F486V,Spike_A701V,NS3_E239Q,NSP12_F694Y,NS3_L106F,NSP13_K460R,Spike_E484K,NSP12_F192V,Spike_S704L,Spike_L18F,NS3_H78Y,N_D343G,Spike_L452Q,NSP6_L37F,NSP1_M85del,NSP2_K81N,Spike_L5F,M_D3N,NSP13_H164Y,N_P199L,N_T205I,NSP12_P227L,N_P67S,NSP6_I162V,NSP5_K90R,N_A220V,N_M234I,NSP1_V86del,NS8_S24L,NSP5_L89F,NSP1_V84del,NS3_G172V,NS7a_P45L,NSP13_E341D,NSP14_N129D,Spike_V1176F,NSP16_K160R,NSP1_H83del,NS3_L140F,NSP4_A146V,Spike_Y145H,NSP1_K141del,NSP1_S142del,NSP1_F143del,Spike_K417T,Spike_P26S,NSP16_R216C,NSP6_C197F,NSP1_G82del,Spike_T1027I,NSP3_S370L,Spike_D138Y,NSP3_H1307Y,NS8_E92K,NSP2_P129L,NSP3_D410G,NS3_S253P,NSP3_K977Q,N_P80R,NS8_L60F,Spike_T20N,Spike_V1264L,Spike_R190S,N_S194L,NSP13_A296S
1,3,114714,114278,451,330,168,37473,37009,1448,916,915,817,468,62,45,46,282,83,44,284,190,45,43,46,43,32,32,32,302,3759,41,294,334,353,417,64,2858,54,49,352,332,307,44,37,314,371,227,342,249,249,41,246,246,277,221,252,259,278,483,239,2263,2264,48,53,839,931,51,41,36,40,38,111,36,38,2245,37,102,178,59,9,9,41,48,21,9,87,721,20,6,8,114,7,66,22,24,33,100,6,36,29,23,27,28,26,43,28,1088,849,796,844,770,785,790,760,2206,975,721,1090,75,13601,41293,31755,263,132,181,52,282,53,887,21,19,13,0,89,37,825,98,683,67,28,21,4882,489,5,1,4955,470,18,2922,5,57,10375,2175,258,9409,25,2557,13317,6278,302,13307,11197,165,8941,45,288,9371,198,520,146,118,31,9,557,564,565,1,124,8615,12,149,39,61,167,67,88,664,8,13,11,0,8,0,89,5,13415,521
2,3,3730,2921,2,0,1,2465,2460,13,1,1,3,0,9,0,0,1,1,0,10,0,0,0,0,0,0,0,0,5,100,0,0,10,0,2,0,94,0,0,0,3,0,0,0,0,7,0,9,0,0,0,0,1,0,0,1,1,11,15,2,26,26,1,0,1,7,0,0,0,0,0,0,0,1,3,0,4,2,2,0,0,1,0,0,0,11,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,1,4,589,515,131,6,1,0,2,7,0,4,0,0,0,0,1,0,0,0,1,4,0,0,8,6,0,0,130,7,0,65,0,1,11,44,4,0,0,114,584,153,5,2,3,1,1,0,0,0,5,25,1,6,0,0,15,15,15,0,4,2,1,1,1,4,21,0,0,4,0,0,0,0,2,0,1,0,215,3
-1,3,3643,3603,7,2,1,2471,2471,2,127,127,151,16,2,0,0,0,4,0,8,0,0,0,0,1,0,0,0,0,4,1,1,4,0,9,0,1,0,2,0,4,1,0,0,0,0,0,15,1,1,0,1,0,0,1,0,0,9,4,0,11,11,148,4,127,8,1,0,0,0,0,0,0,2,5,2,1,8,0,0,0,4,0,0,0,3,35,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,13,0,0,0,5,4,1,0,0,2,0,0,0,0,0,3,5,9,637,592,14,1,0,0,6,1,1,0,0,0,0,118,0,0,11,1,152,0,2,21,3,0,0,181,22,5,23,0,2,6,156,57,3,0,204,1,12,13,3,1,12,2,1,2,1,26,37,7,1,1,0,8,8,8,2,3,1,0,7,9,8,3,15,4,4,0,6,2,2,1,1,1,0,262,6
0,4,20049,19291,713,293,40,9193,9040,955,735,738,841,309,119,10,10,524,81,15,238,20,9,7,13,10,10,10,10,642,470,11,183,237,229,148,7,398,6,11,87,111,151,9,9,100,120,90,166,34,34,9,34,84,54,59,69,73,163,94,165,294,293,358,508,724,337,21,11,10,11,10,64,10,13,1839,14,58,45,20,5,2,13,14,5,0,235,23,13,0,2,52,0,1,1,1,2,26,3,6,9,6,6,28,6,3,17,1015,323,270,273,276,289,271,253,322,276,258,238,135,371,6725,1979,114,150,64,82,138,0,53,5,1,139,0,629,0,0,147,109,1619,0,8,577,180,1,9,1330,40,9,353,0,69,252,1239,178,184,0,1241,170,1505,27,288,276,27,281,15,268,174,2574,228,25,42,12,1,47,47,47,166,185,161,1,24,160,173,672,24,415,137,14,351,166,166,0,155,74,152,4514,296
1,4,324475,322644,1128,439,124,73388,72263,26121,22525,22522,22103,1271,590,36,37,6418,366,39,1098,613,35,32,81,33,25,25,25,626,18267,35,348,414,432,321,52,11626,36,29,214,280,205,28,17,172,1169,188,1139,179,178,19,175,324,248,203,253,235,360,933,298,32187,32168,131,96,21477,21920,85,128,27,27,24,338,27,53,7368,26,279,421,121,12,26,91,117,68,16,480,1509,96,11,13,361,8,16,19,22,22,861,6,24,9,23,21,136,18,64,121,21905,21205,22150,21541,21519,21121,21467,21040,23025,21516,21393,21173,373,91774,104203,73352,604,249,3105,94,573,41,3852,29,31,8,2,542,14,190,490,10521,803,7,209,40282,1634,9,10,11987,1609,52,6168,3,295,54262,9760,1320,48122,12,6797,90875,30435,559,52717,51965,543,47300,201,867,48850,647,2148,549,306,77,43,1139,1144,1140,9,1642,41986,37,540,148,403,1821,356,113,1846,5,56,62,17,54,8,481,20,37221,1684
2,4,7749,7444,9,2,1,3013,2954,212,138,138,134,15,47,0,0,10,15,0,14,4,0,0,0,0,0,0,0,20,422,0,3,5,3,6,0,86,0,0,1,2,1,0,0,1,15,1,18,1,1,0,1,7,1,1,5,1,65,4,2,469,474,10,1,137,153,0,0,0,0,0,126,0,1,34,1,3,6,0,0,0,1,0,0,0,23,5,0,0,0,3,0,1,0,0,0,1,0,0,1,1,1,3,0,0,1,141,152,127,132,120,143,130,128,129,128,131,132,1,2797,1190,105,5,3,16,13,15,19,6,0,0,0,0,10,0,0,12,203,27,0,0,208,23,0,1,1586,12,4,201,0,3,115,50,23,158,0,585,2762,772,9,16,17,8,17,3,1,14,18,71,8,15,5,0,26,26,26,0,12,18,0,8,2,9,362,2,0,22,0,0,0,0,0,0,10,1,677,6
-1,4,4438,4240,27,8,2,1118,1116,37,2043,2041,2213,6,6,1,1,14,5,0,19,4,1,1,1,1,0,0,0,14,22,0,6,4,6,3,0,28,0,1,2,3,1,0,0,4,5,0,12,0,0,0,0,3,2,2,1,1,6,9,20,22,22,2351,4,2038,39,1,0,2,1,0,5,1,0,55,5,3,2,2,0,0,1,4,1,0,39,1,1,0,0,34,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,21,27,17,16,17,19,16,15,20,16,16,20,4,72,2559,2550,16,1,31,0,8,0,6,0,0,1,0,2395,0,0,14,13,2286,0,0,578,16,1,2,120,8,3,33,0,4,23,2389,45,14,1,2530,35,33,3,13,12,3,12,0,7,12,37,28,3,2,0,0,6,6,6,1,6,11,0,3,1,3,11,18,0,15,1,6,0,0,0,0,7,0,262,4
1,5,851112,832568,18842,13236,1032,495388,473020,461459,464169,464001,448004,9103,1918,282,280,65172,1250,313,6791,1680,306,268,329,270,237,237,236,4200,24811,271,9043,2618,3136,1552,298,25539,260,269,1180,1569,1116,227,210,1168,3546,1354,20471,985,931,315,913,1420,1024,966,946,989,1532,2942,1554,439529,438740,9046,1408,462482,427629,398,402,240,237,235,4553,293,297,10593,576,2169,1770,432,91,200,329,807,211,49,1722,601,273,52,54,857,49,60,63,62,72,1371,50,195,303,268,238,625,143,214,505,433958,430981,434768,435445,433070,429194,433338,431007,431456,431121,427094,424877,1434,57133,221723,191841,8245,1497,128043,232,4490,210,1319,103,124,78,1,20382,17,2868,1947,105274,38093,21,1155,41686,3195,30,551,16325,2988,299,38695,44,1986,102059,80557,48625,81543,40,20710,54241,77125,1641,84893,87074,2365,82562,708,7927,83598,10314,18686,1678,1330,417,66,2282,2281,2272,6735,12556,73804,29,1646,7411,7789,11057,843,7590,3568,182,7062,6926,6878,334,6808,1674,6624,33847,2832
0,5,59458,56375,6310,5365,1806,30098,29846,14234,21958,21893,20084,8042,500,64,65,6776,359,64,1204,127,90,63,62,59,66,66,66,7265,954,63,3957,5120,2554,4966,58,5279,50,51,1745,1697,1658,43,49,1504,1501,4398,2504,799,799,50,788,3887,678,669,703,655,840,1020,1389,8319,8323,4977,1435,21826,9185,81,65,61,60,62,1532,64,46,1469,128,835,118,249,4,22,63,40,53,2,287,63,22,5,6,1267,4,6,2,1,2,58,3,45,49,103,102,28,48,51,143,9437,8461,8686,8381,8532,8446,8622,8209,7572,8419,6864,7464,191,920,14604,6634,1859,3495,3753,1042,704,5,84,5,6,265,0,5555,4,7,243,1016,17498,3,76,10395,314,7,641,2170,143,29,984,7,196,628,10387,2777,649,9,5967,372,4493,106,492,523,100,535,54,7422,454,11573,575,97,113,20,9,121,121,116,6630,7563,459,7,95,7600,7265,7988,33,7660,870,7,7483,7480,7413,11,7292,270,7262,4544,170
2,5,68135,67450,102,199,16,49093,47274,46574,49491,49489,48658,187,191,6,6,105,299,7,57,215,6,6,6,5,8,38,8,128,2316,18,295,30,80,25,9,235,6,7,67,36,14,6,5,8,55,14,168,67,67,6,5,31,8,9,10,46,117,28,32,47530,47564,2386,15,49456,46265,43,38,4,4,4,407,11,7,131,64,142,47,17,2,5,28,663,7,2,55,16,6,1,3,221,1,40,1,1,1,117,1,4,4,6,6,10,4,11,1,45760,46173,45806,45862,46040,45823,45978,45873,45840,45699,46025,45179,35,7874,6522,3242,195,50,10765,5,93,23,26,0,0,0,0,3431,0,0,231,19780,3745,0,17,3241,62,0,72,1370,114,3,1593,0,88,1569,3596,3476,189,0,3931,7704,2543,67,64,89,89,50,33,105,59,206,570,94,41,74,0,162,162,162,80,101,96,0,92,163,203,1426,150,100,187,5,101,83,99,3,79,30,79,1119,112
-1,5,5885,4923,489,56,15,1791,1784,382,2949,2949,2970,364,5,2,2,64,12,3,198,5,3,1,3,3,3,3,3,50,13,2,70,40,42,29,26,61,3,3,28,33,37,3,3,31,12,12,53,15,10,2,9,24,36,36,26,28,29,38,195,232,232,2719,5,2937,255,4,2,1,3,3,3,1,5,29,7,19,7,4,1,0,3,7,1,0,40,4,4,0,1,40,1,1,1,1,1,3,0,2,3,1,1,0,1,1,62,233,223,298,285,219,219,217,221,213,218,218,213,9,34,2619,2923,25,8,128,3,23,0,12,0,0,0,0,2566,0,0,105,71,2979,0,2,1183,10,9,307,66,16,0,60,0,11,24,2632,43,14,0,2820,6,142,9,14,15,4,16,5,271,14,643,32,5,4,1,0,13,13,13,214,257,15,0,4,283,261,279,4,269,11,0,273,275,272,0,248,6,228,22,6
1,6,906710,895622,155226,178740,98718,626293,575920,588930,650602,650371,612041,44926,275,48,36,198125,569,187,12905,887,294,35,106,33,26,26,26,179241,14082,195,190043,178684,176571,176876,61,179956,46,87,174425,175710,174371,124,31,174727,171336,169732,112887,162838,162617,156,162345,142475,140863,140595,140876,139316,140215,142508,141351,553387,552712,9837,4667,650398,553944,179,141,53,31,51,5355,65,129,3779,165,2377,2320,335,9,54,131,923,261,14,1955,130,164,19,24,2164,7,18,18,17,19,1297,9,23,308,103,93,173,24,89,3704,566276,565139,565949,568323,568605,563630,565072,566932,563822,562766,560317,552807,86048,23991,76320,68055,49127,35344,226877,32307,24253,2425,6819,581,704,46,2,29475,2625,87,3378,92824,89891,6862,1768,51679,2215,9,1232,11802,5083,6530,51479,19,3022,23403,41208,106809,5465,2032,23061,2396,40882,2703,5147,5650,3808,5783,5362,44420,5214,44701,33226,2390,1084,511,237,3547,3547,3547,43253,44695,4595,398,2317,48032,44602,44421,1411,44059,15223,585,43532,43933,43904,677,42667,3777,40081,4705,2580
0,6,120711,117604,29846,43468,12040,52173,51916,22298,53928,53864,49614,32475,578,148,182,44144,186,130,3217,163,119,227,132,80,131,131,131,50730,479,195,46712,48167,43421,43280,128,42332,117,56,40409,42720,42292,28,28,36361,34742,37606,12099,21101,21040,31,20985,23492,20114,20387,20542,18540,20562,20613,21683,12952,12935,5563,626,53851,13831,70,27,13,18,24,999,24,110,711,122,929,274,115,75,118,117,185,200,95,284,69,99,109,51,1914,107,116,86,86,85,145,109,3,8,23,20,50,3,19,2115,12578,12579,12612,12532,12497,12463,12460,12428,12150,12536,11300,11830,175,7625,12042,6757,21391,23913,6156,19655,8604,19,163,15,10,25,3,6328,56,26,866,1057,40405,34,307,34494,253,15,2713,2048,448,1411,1902,9,253,477,11360,2945,202,50,7186,448,1928,337,51,122,253,135,135,32302,43,32912,1066,247,188,76,17,449,449,448,30139,31967,79,38,234,33069,31794,30273,85,31896,12851,35,32289,32429,32437,30,31760,2419,31296,1041,254
-1,6,13691,11913,3716,2545,839,6508,6485,1008,7997,7997,6806,4580,52,2,1,2592,15,2,1641,30,5,1,0,2,1,1,1,2905,8,5,2968,2747,2707,2673,26,2678,0,0,2532,2676,2744,0,0,2671,2512,2495,432,2319,2301,0,2298,1935,1929,2018,1995,1905,2035,1940,3325,749,749,1924,10,7976,810,1,5,1,2,1,29,2,2,26,10,70,32,16,0,0,3,8,1,0,153,0,8,0,0,69,0,0,0,0,0,10,0,0,0,1,1,4,0,0,135,807,666,900,914,643,677,700,661,736,738,716,634,19,622,2272,2240,740,707,88,712,623,0,15,0,2,0,0,2003,1,1,198,98,6096,2,16,4359,17,11,2176,164,50,49,186,0,14,15,2304,67,5,2,2285,8,96,45,1,5,100,5,26,3501,1,3654,110,101,7,25,2,37,37,37,3327,3404,278,2,99,3537,3439,3697,14,3539,162,1,3617,3542,3630,35,3350,69,3044,7,82
2,6,52182,51563,4104,6078,3996,43022,37842,43144,43992,43975,44140,381,136,0,0,6136,14,1,21,77,7,1,2,6,1,39,1,6265,183,7,6758,6230,6567,6193,2,6162,0,2,5779,6137,5208,0,0,5133,5824,5587,826,5623,5586,1,5205,4292,3839,4193,4258,4289,4203,4284,4285,43185,43225,843,2,43959,43112,44,8,0,1,0,191,1,5,117,61,193,50,9,0,8,42,289,1,0,65,7,8,0,0,59,0,45,4,1,1,109,2,0,0,1,2,7,0,5,10,43206,43211,43287,43273,43437,42818,43031,43246,42920,43249,43067,42641,111,1851,1345,1194,2175,1991,13682,1947,1755,0,19,11,13,3,0,1264,2,0,55,13996,2302,4,65,667,132,1,6,485,149,3324,1616,2,28,33,1250,2349,20,0,1442,206,146,103,2,40,99,9,2339,155,0,172,345,94,19,69,1,172,172,172,116,146,15,1,89,517,143,711,73,125,418,7,113,122,122,7,122,82,117,42,665
